time,AL_pv_national_current,AT_pv_national_current,BA_pv_national_current,BE_pv_national_current,BG_pv_national_current,CH_pv_national_current,CY_pv_national_current,CZ_pv_national_current,DE_pv_national_current,DK_pv_national_current,EE_pv_national_current,ES_pv_national_current,FI_pv_national_current,FR_pv_national_current,GB_pv_national_current,GR_pv_national_current,HR_pv_national_current,HU_pv_national_current,IE_pv_national_current,IT_pv_national_current,LT_pv_national_current,LU_pv_national_current,LV_pv_national_current,MD_pv_national_current,ME_pv_national_current,MK_pv_national_current,MT_pv_national_current,NL_pv_national_current,NO_pv_national_current,PL_pv_national_current,PT_pv_national_current,RO_pv_national_current,RS_pv_national_current,SE_pv_national_current,SI_pv_national_current,SK_pv_national_current
2018-01-01T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01T01:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01T02:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01T03:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01T04:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01T05:00:00Z,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01T06:00:00Z,0.041,0,0.002,0,0.115,0,0.13,0,0,0,0,0,0,0,0,0.115,0,0,0,0.003,0,0,0,0.043,0.003,0.091,0.056,0,0,0,0,0.037,0.033,0,0,0
2018-01-01T07:00:00Z,0.129,0.007,0.035,0,0.288,0.007,0.321,0.006,0.004,0,0,0.007,0,0.007,0,0.291,0.012,0.013,0,0.045,0,0,0,0.142,0.033,0.246,0.27,0,0,0.009,0,0.151,0.147,0,0.008,0.006
2018-01-01T08:00:00Z,0.229,0.036,0.072,0.024,0.418,0.091,0.506,0.034,0.053,0.001,0.004,0.109,0.003,0.062,0.001,0.418,0.035,0.045,0,0.127,0.005,0.019,0.004,0.22,0.065,0.344,0.441,0.039,0,0.045,0.025,0.271,0.235,0,0.025,0.018
2018-01-01T09:00:00Z,0.244,0.064,0.097,0.069,0.49,0.221,0.6,0.068,0.116,0.009,0.011,0.215,0.014,0.119,0.025,0.489,0.056,0.071,0.028,0.207,0.013,0.061,0.008,0.271,0.082,0.396,0.554,0.108,0.003,0.084,0.081,0.35,0.279,0.002,0.039,0.032
2018-01-01T10:00:00Z,0.234,0.086,0.096,0.116,0.493,0.35,0.591,0.089,0.162,0.023,0.016,0.273,0.019,0.167,0.066,0.497,0.062,0.074,0.083,0.265,0.021,0.152,0.009,0.266,0.089,0.36,0.556,0.158,0.014,0.094,0.169,0.354,0.255,0.007,0.045,0.038
2018-01-01T11:00:00Z,0.229,0.106,0.11,0.117,0.431,0.439,0.525,0.099,0.192,0.045,0.012,0.305,0.011,0.181,0.104,0.438,0.065,0.061,0.141,0.285,0.02,0.218,0.006,0.239,0.079,0.282,0.523,0.15,0.017,0.081,0.264,0.314,0.196,0.007,0.042,0.031
2018-01-01T12:00:00Z,0.152,0.102,0.111,0.1,0.325,0.434,0.4,0.094,0.183,0.055,0.002,0.323,0.001,0.166,0.121,0.34,0.058,0.042,0.174,0.275,0.012,0.207,0.003,0.171,0.053,0.23,0.483,0.096,0.011,0.053,0.302,0.229,0.149,0.003,0.034,0.024
2018-01-01T13:00:00Z,0.069,0.079,0.076,0.057,0.186,0.313,0.223,0.07,0.126,0.03,0,0.31,0,0.128,0.103,0.215,0.036,0.024,0.179,0.225,0.001,0.085,0,0.075,0.027,0.142,0.384,0.056,0.002,0.021,0.283,0.109,0.084,0,0.025,0.017
2018-01-01T14:00:00Z,0.013,0.041,0.015,0.01,0.037,0.157,0.026,0.024,0.041,0.002,0,0.247,0,0.069,0.055,0.07,0.01,0.005,0.13,0.131,0,0.019,0,0,0.006,0.034,0.221,0.019,0,0.001,0.242,0.007,0.019,0,0.008,0.003
