,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,27,13,2,10,12.0,8.0,488.0,49.0,12.0,29.0,7.0,9.0,18.0,9.0,7.0,271.0,154.0,72.0,5.0,7.0,1.0,8.0,14.0,10.0,384.0,29.0,38.0,10.0,11.0,8.0,13.0,2.0,13.0,102.0,152.0,170.0,15.0,19.0,2.0,2.0,1.0,3.0,34.0,145.0,178.0,1.0,8.0,3.0,10.0,8.0,18.0,188.0,42.0,77.0,14.0,3.0,12.0,13.0,11.0,15.0,324.0,14.0,104.0,3.0,12.0,2.0,8.0,15.0,18.0,461.0,143.0,121.0,17.0,0.0,1.0,6.0,18.0,6.0,88.0,44.0,109.0,4.0,0.0,14.0,15.0,13.0,8.0,82.0,27.0,108.0,48615.59236128973
0,24,2,6,0,3.0,12.0,51.0,73.0,106.0,22.0,12.0,12.0,5.0,19.0,1.0,314.0,22.0,254.0,24.0,1.0,12.0,15.0,0.0,17.0,179.0,145.0,170.0,22.0,12.0,12.0,12.0,12.0,14.0,458.0,75.0,27.0,21.0,1.0,2.0,11.0,16.0,15.0,47.0,70.0,182.0,19.0,15.0,6.0,17.0,4.0,17.0,38.0,100.0,4.0,21.0,9.0,1.0,2.0,5.0,2.0,375.0,180.0,196.0,6.0,12.0,18.0,17.0,17.0,0.0,179.0,135.0,145.0,13.0,13.0,19.0,8.0,12.0,3.0,264.0,122.0,216.0,19.0,13.0,19.0,17.0,10.0,6.0,198.0,75.0,144.0,585650.6889886913
0,22,6,6,8,1.0,8.0,531.0,50.0,275.0,23.0,6.0,0.0,13.0,19.0,8.0,425.0,20.0,119.0,12.0,4.0,18.0,0.0,17.0,17.0,152.0,19.0,280.0,21.0,13.0,16.0,17.0,15.0,8.0,66.0,22.0,33.0,12.0,13.0,1.0,17.0,18.0,1.0,69.0,66.0,98.0,20.0,19.0,17.0,17.0,4.0,17.0,426.0,171.0,16.0,29.0,6.0,4.0,12.0,6.0,14.0,536.0,160.0,270.0,27.0,16.0,18.0,0.0,3.0,16.0,585.0,149.0,239.0,11.0,8.0,19.0,15.0,14.0,7.0,50.0,60.0,83.0,15.0,0.0,11.0,8.0,18.0,3.0,39.0,56.0,193.0,53799.583522762885
0,4,13,16,7,0.0,18.0,161.0,115.0,256.0,21.0,5.0,9.0,19.0,8.0,19.0,327.0,131.0,41.0,5.0,10.0,11.0,1.0,1.0,17.0,440.0,30.0,241.0,4.0,8.0,0.0,2.0,0.0,10.0,181.0,79.0,37.0,2.0,18.0,8.0,7.0,9.0,0.0,564.0,81.0,195.0,29.0,6.0,19.0,10.0,6.0,10.0,203.0,64.0,58.0,4.0,7.0,2.0,15.0,7.0,18.0,443.0,81.0,222.0,22.0,10.0,5.0,18.0,11.0,2.0,189.0,97.0,207.0,25.0,11.0,14.0,4.0,15.0,14.0,42.0,72.0,163.0,5.0,6.0,16.0,10.0,15.0,3.0,35.0,197.0,194.0,274546.0485229626
0,22,19,12,3,1.0,11.0,371.0,167.0,81.0,19.0,10.0,18.0,19.0,0.0,13.0,430.0,85.0,101.0,5.0,15.0,5.0,2.0,17.0,12.0,50.0,166.0,165.0,10.0,10.0,5.0,0.0,4.0,10.0,504.0,59.0,63.0,20.0,1.0,15.0,11.0,18.0,9.0,229.0,54.0,54.0,1.0,8.0,7.0,11.0,11.0,19.0,481.0,61.0,201.0,10.0,9.0,1.0,14.0,13.0,1.0,562.0,168.0,168.0,24.0,2.0,9.0,9.0,7.0,0.0,550.0,159.0,98.0,5.0,14.0,8.0,6.0,14.0,11.0,440.0,118.0,12.0,23.0,5.0,17.0,0.0,14.0,14.0,577.0,42.0,26.0,50775.83675918818
0,2,6,15,7,15.0,13.0,216.0,42.0,158.0,8.0,11.0,13.0,16.0,8.0,8.0,295.0,85.0,119.0,19.0,8.0,1.0,16.0,13.0,16.0,198.0,21.0,1.0,13.0,14.0,19.0,2.0,15.0,18.0,16.0,59.0,19.0,3.0,13.0,18.0,5.0,19.0,0.0,292.0,70.0,222.0,27.0,3.0,4.0,14.0,6.0,13.0,92.0,79.0,193.0,5.0,17.0,18.0,8.0,17.0,15.0,105.0,195.0,33.0,20.0,0.0,2.0,4.0,4.0,12.0,286.0,41.0,297.0,19.0,1.0,0.0,8.0,6.0,16.0,114.0,61.0,119.0,12.0,6.0,18.0,17.0,7.0,5.0,273.0,26.0,211.0,194963.2434646457
0,28,9,15,8,17.0,1.0,400.0,177.0,226.0,27.0,11.0,14.0,9.0,16.0,14.0,439.0,38.0,239.0,18.0,19.0,5.0,14.0,11.0,7.0,330.0,31.0,219.0,9.0,4.0,4.0,3.0,4.0,5.0,586.0,59.0,145.0,29.0,17.0,4.0,3.0,10.0,13.0,537.0,25.0,18.0,23.0,14.0,6.0,10.0,7.0,14.0,355.0,133.0,123.0,21.0,18.0,16.0,15.0,0.0,6.0,590.0,128.0,50.0,15.0,5.0,11.0,0.0,17.0,3.0,558.0,154.0,209.0,3.0,3.0,17.0,3.0,15.0,7.0,235.0,121.0,209.0,3.0,5.0,19.0,4.0,8.0,16.0,277.0,106.0,199.0,48431.050809288114
0,10,4,7,12,10.0,3.0,55.0,71.0,31.0,22.0,1.0,5.0,16.0,8.0,4.0,128.0,15.0,133.0,4.0,9.0,8.0,18.0,9.0,1.0,578.0,145.0,286.0,4.0,17.0,7.0,16.0,0.0,2.0,289.0,121.0,216.0,14.0,15.0,16.0,11.0,19.0,7.0,357.0,126.0,126.0,20.0,5.0,9.0,18.0,4.0,3.0,374.0,133.0,126.0,28.0,3.0,11.0,0.0,8.0,19.0,78.0,199.0,69.0,20.0,13.0,12.0,19.0,13.0,10.0,142.0,153.0,188.0,9.0,17.0,8.0,6.0,1.0,15.0,123.0,182.0,212.0,18.0,10.0,17.0,17.0,10.0,15.0,297.0,17.0,111.0,538512.4114564882
0,14,16,11,12,10.0,1.0,595.0,130.0,140.0,9.0,17.0,12.0,0.0,2.0,1.0,13.0,139.0,297.0,22.0,0.0,18.0,11.0,0.0,19.0,202.0,114.0,144.0,13.0,14.0,8.0,12.0,16.0,15.0,100.0,180.0,198.0,18.0,2.0,8.0,6.0,10.0,6.0,365.0,28.0,62.0,23.0,10.0,11.0,7.0,14.0,18.0,443.0,36.0,236.0,12.0,0.0,13.0,16.0,8.0,3.0,29.0,99.0,211.0,12.0,11.0,0.0,5.0,1.0,3.0,3.0,150.0,275.0,3.0,6.0,0.0,12.0,18.0,17.0,496.0,48.0,153.0,19.0,14.0,13.0,10.0,2.0,17.0,345.0,69.0,51.0,51717.16472904055
0,0,7,0,18,18.0,19.0,239.0,197.0,87.0,19.0,0.0,7.0,19.0,10.0,19.0,461.0,30.0,66.0,13.0,16.0,1.0,5.0,5.0,6.0,137.0,116.0,151.0,14.0,9.0,18.0,3.0,0.0,18.0,252.0,195.0,213.0,24.0,5.0,18.0,9.0,0.0,1.0,527.0,142.0,217.0,15.0,5.0,3.0,3.0,15.0,7.0,87.0,77.0,124.0,18.0,15.0,8.0,10.0,6.0,17.0,205.0,151.0,295.0,14.0,16.0,9.0,2.0,3.0,4.0,458.0,52.0,127.0,0.0,8.0,12.0,15.0,13.0,4.0,261.0,62.0,10.0,10.0,0.0,6.0,7.0,10.0,11.0,172.0,32.0,0.0,56087.31787275399
