year,NoC_standard_one,NoC_standard_two,NoC_standard_four,NoC_fast_one,NoC_fast_two,NoC_fast_four,NoT,p_plus,battery,PV
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,1.0,0.0,2.0,1.0,29.275262943298436,0.0,0.0
5,0.0,0.0,0.0,1.0,0.0,5.0,0.0,11.963486804736206,0.0,14.0
6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.357487977513642,0.0,0.0
7,0.0,0.0,0.0,1.0,0.0,3.0,0.0,19.79753757008138,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.873095238095267,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.209476347378796,0.0,0.0
